datetime,open,high,low,close
2023-06-02 12:45:00,43972.5,43999.95,43971.05,43985.2
2023-06-09 13:45:00,44055.1,44080.5,43978.95,44003.4
2022-12-30 12:30:00,43114.4,43195.95,43110.3,43188.9
2023-04-27 10:15:00,42835.6,42865.3,42816.05,42849.6
2023-07-12 10:45:00,44844.4,44910.7,44844.4,44907.8
2023-06-23 09:15:00,43641.6,43734.9,43539.2,43561.1
2022-09-30 11:15:00,38330.2,38434.0,38288.75,38294.6
2022-11-29 09:45:00,43201.8,43216.05,43159.7,43196.9
2022-08-03 11:30:00,37722.9,37806.35,37692.95,37803.5
2023-01-17 13:45:00,42038.4,42075.05,41978.0,42020.6
2023-04-03 10:30:00,40626.9,40668.5,40585.2,40593.6
2022-08-25 09:30:00,39315.2,39348.1,39283.85,39343.2
2022-07-25 12:30:00,36544.6,36590.3,36504.25,36544.4
2022-08-26 09:15:00,39129.6,39285.95,39102.9,39219.2
2023-06-02 14:15:00,43957.1,43957.05,43840.15,43910.7
2023-07-03 14:15:00,45153.9,45198.6,45129.2,45180.3
2023-02-16 14:30:00,41662.7,41762.1,41655.65,41743.0
2022-03-15 11:15:00,35465.2,35510.15,35394.95,35481.4
2022-12-06 13:30:00,43149.7,43202.2,43140.0,43168.8
2022-03-03 11:30:00,35326.4,35347.15,35257.15,35277.9
2022-10-10 12:00:00,39049.4,39182.65,39047.25,39179.1
2022-07-25 12:15:00,36532.2,36574.7,36525.7,36546.2
2022-02-14 14:45:00,36880.2,37009.9,36871.9,36994.1
2022-08-17 12:30:00,39340.3,39346.2,39315.2,39331.9
2023-03-27 12:00:00,39378.7,39506.6,39359.15,39430.9
2022-05-20 14:15:00,34253.4,34301.7,34155.7,34183.9
2022-07-05 11:15:00,34255.6,34309.3,34238.95,34303.8
2022-08-10 14:15:00,38327.2,38356.4,38324.55,38335.4
2023-03-03 14:15:00,41339.2,41390.15,41337.45,41373.0
2023-01-16 11:15:00,42469.1,42469.35,42375.15,42443.6
2023-06-08 13:30:00,44260.5,44289.25,44210.8,44284.0
2022-01-25 15:15:00,37714.5,37788.8,37703.95,37714.0
2022-09-20 12:15:00,41538.0,41627.6,41515.45,41625.8
2022-07-11 14:30:00,35506.9,35541.6,35454.9,35507.6
2022-01-24 13:45:00,36836.2,36900.75,36691.0,36706.1
2023-02-28 11:15:00,40291.1,40323.3,40252.15,40270.9
2023-04-06 12:00:00,41094.3,41141.2,41061.25,41110.8
2023-06-13 10:30:00,44075.1,44115.55,44060.95,44111.1
2022-12-20 11:30:00,43022.2,43045.65,42968.1,42969.6
2023-04-21 11:45:00,42197.9,42200.35,42162.8,42176.4
2022-10-12 10:15:00,38782.1,38892.3,38742.4,38892.2
2022-10-03 10:15:00,38238.1,38280.0,38158.15,38190.8
2022-10-18 10:30:00,40330.7,40361.95,40241.75,40304.8
2022-05-04 09:30:00,36272.1,36298.25,36174.2,36236.0
2022-08-16 12:00:00,39240.2,39251.65,39208.1,39237.9
2022-08-24 15:15:00,39067.6,39120.8,39040.45,39087.2
2022-09-06 09:45:00,39827.1,39860.4,39781.8,39850.4
2022-05-30 15:00:00,35863.4,35876.85,35797.5,35811.3
2022-09-16 11:00:00,41089.4,41091.25,40981.55,41049.9
2023-06-12 14:15:00,43975.9,43990.45,43874.05,43905.9
2023-01-20 14:15:00,42579.9,42601.25,42552.65,42581.1
2022-10-31 12:00:00,41286.9,41294.15,41240.15,41268.2
2022-12-05 10:15:00,43022.8,43089.8,43022.75,43089.8
2022-11-01 14:00:00,41282.5,41341.55,41277.25,41325.8
2022-08-02 11:15:00,37830.0,37852.7,37796.05,37851.1
2022-12-27 11:45:00,42544.5,42602.05,42527.05,42580.7
